filename,ipc2014-opt-symba1:default,ipc2018-decstar:opt-config00,ipc2018-decstar:opt-config01,ipc2018-decstar:opt-config02,ipc2018-decstar:opt-config03,ipc2018-decstar:opt-config04,ipc2018-decstar:opt-config05,ipc2018-decstar:opt-config06,ipc2018-opt-complementary2:default,ipc2018-opt-delfi:h2-simpless-dks-900masb50ksbmiasm,ipc2018-opt-delfi:h2-simpless-dks-900masb50ksccdfp,ipc2018-opt-delfi:h2-simpless-dks-900masginfsccdfp,ipc2018-opt-delfi:h2-simpless-dks-blind,ipc2018-opt-delfi:h2-simpless-dks-celmcut,ipc2018-opt-delfi:h2-simpless-dks-cpdbshc900,ipc2018-opt-delfi:h2-simpless-dks-zopdbsgenetic,ipc2018-opt-delfi:h2-simpless-oss-900masb50ksbmiasm,ipc2018-opt-delfi:h2-simpless-oss-900masb50ksccdfp,ipc2018-opt-delfi:h2-simpless-oss-blind,ipc2018-opt-delfi:h2-simpless-oss-celmcut,ipc2018-opt-delfi:h2-simpless-oss-cpdbshc900,ipc2018-opt-delfi:h2-simpless-oss-masginfsccdfp,ipc2018-opt-delfi:h2-simpless-oss-zopdbsgenetic,ipc2018-opt-delfi:simpless-dks-masb50kmiasmdfp,ipc2018-opt-delfi:simpless-oss-masb50kmiasmdfp,ipc2018-opt-metis:metis2,ipc2018-opt-planning-pdbs:default,ipc2018-opt-scorpion:default,ipc2018-symple1:symple100000OPT,ipc2018-symple2:symple100000OPT
barman-strips:5-pfile03-010.pddl,1616.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
barman-strips:5-pfile03-011.pddl,784.804,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
barman-strips:7-p002.pddl,34.6802,-,-,-,-,-,-,-,923.382,260.757,-,-,-,-,440.286,-,-,-,-,-,382.913,-,-,-,-,-,364.252,-,-,-
barman-strips:7-p003.pddl,163.284,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
barman-strips:7-p009.pddl,36.242,-,-,1390.4,-,-,-,-,251.371,120.047,512.919,579.04,545.132,1239.19,200.017,474.206,1228.4,461.585,481.885,1204.23,153.752,510.646,404.599,449.014,494.655,1282.71,226.438,-,-,-
barman-strips:7-p010.pddl,81.5611,-,-,-,-,-,-,-,919.561,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,477.422,-,-,-
barman-strips:7-p011.pddl,17.7819,-,-,371.046,-,-,-,-,56.8551,81.4723,262.82,313.111,315.418,344.796,699.04,248.574,948.386,165.653,164.102,325.967,662.154,174.891,129.371,354.835,350.794,349.376,56.943,-,-,-
barman-strips:7-p012.pddl,80.6494,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
barman-strips:7-p013.pddl,72.5383,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
barman-strips:7-p014.pddl,205.654,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
barman-strips:7-p015.pddl,782.253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
barman-strips:7-p020.pddl,47.9412,-,-,-,-,-,-,-,962.374,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,399.585,-,-,-
